Gender,Handedness,Roll,Flip,Nose,Penny,Rank,Credits,Height,Fear,State,Textbook,Textbook.last,Wage,Age,Date,Heart
Female,Right,Yes,No,No,No,FR,40,69,2,Netherlands,75,50,0.00,21,Yes,140
Female,Right,No,No,No,No,SO,30,60,5,TX,100,50,10.00,55,No,110
Female,Right,Yes,No,No,Yes,JR,67,66,7,VA,215,50,17.00,53,Yes,80
Female,Right,Yes,No,Yes,Yes,SO,46.71,62,5,WA,0,135,11.50,58,No,84
Female,Right,Yes,Yes,No,Yes,FR,15,68,4,NV,150,50,18.00,47,Yes,94
Female,Right,Yes,No,No,Yes,SO,42,69,5,ID,229,50,12.00,53,Yes,84
Female,Right,Yes,No,No,Yes,JR,61,64,6,SC,90,65,11.00,55,Yes,82
Female,Right,Yes,Yes,Yes,Yes,FR,10,69,,CA,65,70,15.18,48,Yes,85
Female,Right,Yes,Yes,Yes,No,JR,45,63,7,OR,0,0,15.00,57,Yes,114
Female,Right,No,No,No,Yes,JR,80,69,5,UT,150,40,12.50,56,No,66
Female,Right,No,No,No,Yes,JR,75,61,6,UT,100,25,12.50,55,No,77
Female,Right,No,No,No,Yes,SR,60,66,6,IL,20,80,17.00,45,No,78
Female,Right,No,No,No,Yes,SO,40,63,5,UT,80,80,11.50,57,No,
Female,Right,No,No,No,Yes,FR,12,60,2,OR,147,65,11.50,60,No,66
Female,Right,Yes,No,No,Yes,SO,52,62.5,2,CA,0,60,14.25,57,No,52
Female,Left,Yes,No,No,Yes,SR,91,70,7,NV,20,0,11.00,45,No,82
Female,Right,Yes,Yes,No,No,JR,33,64,7,TX,142,200,15.00,55,Yes,60
Female,Right,Yes,No,No,No,JR,65,55,2,CA,100,150,14.76,53,Yes,84
Female,Right,Yes,No,No,No,JR,68,63,5,KY,105,20,12.50,45,No,63
Female,Right,Yes,No,No,No,SO,42,63,7,ID,150,100,9.00,50,No,80
Female,Right,Yes,No,Yes,Yes,SO,48,69,3,AZ,0,0,17.50,48,Yes,69
Female,Right,Yes,No,Yes,Yes,FR,24,66,4,UT,20,30,18.00,55,Yes,61
Female,Right,No,No,No,Yes,JR,63,65,3,CO,300,150,16.00,40,No,86
Female,Right,Yes,No,No,Yes,SR,75,63,4,WA,15,0,20.00,56,No,60
Female,Right,Yes,Yes,No,Yes,JR,94,64,5,Utah ,120,0,21.00,58,Yes,80
Female,Right,Yes,Yes,Yes,No,FR,18,68,4,TX,150,75,12.00,52,No,83
Female,Left,Yes,No,Yes,Yes,JR,85,63,4,AZ,200,150,18.00,40,Yes,74
Female,Right,Yes,No,No,Yes,SO,36,63,4,ID,72,60,16.00,63,No,72
Female,Right,No,Yes,No,Yes,SO,41,59,6,WY,130,100,17.00,47,No,75
Female,Right,Yes,No,No,Yes,JR,93,64,3,KY,80,140,11.50,52,Yes,70
Female,Left,Yes,Yes,No,,SO,36,72,7,TX,30,60,10.00,40,No,20
Female,Right,Yes,No,No,Yes,FR,23,65,3.5,CA,65,0,0.00,60,Yes,84
Female,Right,No,No,No,Yes,JR,71,71,6,ID,105,65,14.00,45,Yes,64
Female,Right,Yes,No,No,No,SO,38,64,4,NM,28,20,20.00,55,No,66
Female,Right,Yes,Yes,No,Yes,SO,39,64,4,CA,8,65,15.00,50,Yes,72
Female,Right,Yes,Yes,No,Yes,FR,17,68,3,OR,105,68,13.70,56,Yes,84
Female,Left,No,No,No,Yes,JR,61,68,5,ID,130,75,17.00,47,Yes,97
Female,Right,No,Yes,No,Yes,SO,24,65,4,ID,0,90,14.30,57,No,47.5
Female,Right,Yes,Yes,Yes,,SO,30,65,1,CA,164,182.48,11.00,55,Yes,71
Female,Right,No,No,No,Yes,FR,30,65,5,Reunion Island ,150,75,11.00,57,No,90
Female,Right,No,No,No,Yes,JR,74,63,6,CO,231,40,17.00,45,Yes,64
Female,Right,Yes,Yes,Yes,Yes,SO,33,64,7,Peru,50,40,12.00,34,Yes,77
Female,Right,Yes,Yes,No,Yes,SO,46,65,5,ID,30,70,12.75,40,Yes,71
Female,Right,No,Yes,No,Yes,FR,30,67,3,ID,80,80,9.00,25,No,67
Female,Right,Yes,No,No,Yes,SR,160,54,1,OR,0,0,25.00,58,No,79
Female,Right,No,Yes,No,Yes,FR,35,63,5.5,UT,50,0,14.00,57,No,69
Female,Right,No,No,No,No,SO,40,64,6,Canada ,100,200,0.00,51,No,94
Female,Right,Yes,No,No,No,JR,75,66,7,CA,0,20,21.00,56,No,72
Female,Right,Yes,No,No,No,FR,12,67,4,ID,93,116,12.00,56,Yes,84
Female,Right,Yes,No,No,No,FR,26,66,7,ID,50,100,14.00,56,No,80
Female,Right,No,Yes,No,Yes,FR,27,62,1,CA,110,80,16.50,52,No,70
Female,Right,Yes,No,No,Yes,FR,33,68,5,KS,109,120,10.00,45,Yes,73
Female,Right,Yes,Yes,No,Yes,FR,15,64,4,ID,58,160,17.00,45,No,76
Female,Right,Yes,No,No,No,SO,56,71,5,CO,150,100,16.00,57,Yes,77
Female,Right,Yes,No,No,No,SO,50,67,7,ID,100,80,17.00,56,No,72
Female,Right,No,No,No,Yes,FR,24,68,3,CO,25,50,15.50,52,No,77
Female,Left,No,Yes,No,No,FR,16,62,5,Canada,200,80,17.50,48,No,80
Female,Right,Yes,No,No,No,SO,48,61,6,ID,0,0,10.00,47,No,
Female,Right,No,No,No,Yes,JR,75,71,5,KY,150,150,13.00,57,Yes,72
Female,Right,No,No,No,Yes,SO,37,70,5,Canada,50,50,18.00,50,No,69
Female,Right,Yes,No,Yes,Yes,JR,60,67,5,ID,50,20,15.00,55,No,72
Female,Left,Yes,No,No,No,SO,42,70,7,UT,10,30,18.00,55,No,72
Female,Right,Yes,Yes,No,No,SO,45,67,,ID,60,150,16.00,52,No,52
Female,Right,Yes,No,No,Yes,JR,55,66.5,4,AK,31,4,13.50,50,No,75
Female,Right,Yes,Yes,No,Yes,SO,29,62,4,AZ,,100,21.00,,No,88
Female,Right,Yes,Yes,No,Yes,JR,70,71,5,TN,50,38,11.00,56,Yes,80
Female,Left,Yes,No,No,Yes,SO,40,66,4,RI,50,40,20.00,40,No,91
Female,Right,Yes,Yes,No,Yes,SO,30,65,3,SC,25,20,15.00,57,No,70
Female,Right,Yes,Yes,Yes,Yes,JR,50,69,4,ID,50,50,13.00,47,No,60
Female,Right,No,Yes,No,Yes,FR,26,63,5,ID,24,12,13.50,55,No,86
Female,Left,Yes,Yes,Yes,Yes,SO,56,69,3,AZ,180,0,16.00,50,No,80
Female,Right,No,No,No,Yes,SR,70,64,7,OR,,,10.00,50,No,60
Female,Right,Yes,No,No,Yes,JR,85,62,4,UT,160,100,10.00,54,No,64
Female,Right,No,No,No,Yes,SO,47,62,7,ME,150,200,20.00,35,No,47
Female,Right,Yes,No,No,Yes,FR,9,63,7,TN,0,0,13.00,68,No,80
Female,Left,Yes,Yes,No,Yes,JR,80,60,5,UT,70,70,12.65,57,No,65
Female,Right,No,No,No,Yes,FR,16,67,7,CA,300,200,16.00,52,No,120
Female,Right,No,Yes,No,Yes,JR,70,67,6,UT,65,30,15.00,50,No,80
Female,Right,Yes,No,Yes,No,SO,50,68,7,ID,200,100,16.00,53,Yes,101
Female,Right,No,No,No,Yes,JR,75,59,7,ID,0,80,16.00,48,No,
Female,Right,Yes,Yes,No,No,FR,21,67,10,KY,170,120,7.00,20,No,85
Female,Right,Yes,No,No,Yes,SO,33,66,2,CA,33,30,12.50,53,Yes,79
Female,Right,Yes,Yes,No,Yes,JR,44,65,5,Canada,20,45,22.00,62,Yes,73
